180000,Martin Nový,363685
180001,BlueNet, s.r.o.,536468
180002,ZCZ, s.r.o.,1582739
180003,Valza, a.s.,2522343
180004,Epic Internet a.s.,1718326
180006,BlueNet, s.r.o.,2306054
180009,BlueNet, s.r.o.,235979
180011,BlueNet, s.r.o.,2194686
180013,GreenStyles, a.s.,920586
180014,Valza, a.s.,1523109
180016,ZCZ, s.r.o.,283116
180017,Martin Nový,2261085
180018,Valza, a.s.,1059078
180019,Epic Internet a.s.,1988926
180023,Valza, a.s.,1125561
180025,Valza, a.s.,1905686
180026,Valza, a.s.,1246791
180027,Big žirafa s.r.o.,486656
180028,Martin Nový,467914
180031,Valza, a.s.,2615707
180032,Valza, a.s.,1747488
180033,Valza, a.s.,-1393
180035,Martin Nový,2628404
180038,Martin Nový,2674916
180039,Martin Nový,94983
180040,BlueNet, s.r.o.,1593062
180041,ZCZ, s.r.o.,1301914
180042,GreenStyles, a.s.,537505
180044,Big žirafa s.r.o.,711982
180045,BlueNet, s.r.o.,171320
180046,Epic Internet a.s.,2110771
180047,Epic Internet a.s.,2097535
180048,BlueNet, s.r.o.,1446234
180049,Martin Nový,227051
180050,Epic Internet a.s.,2782922
180051,BlueNet, s.r.o.,2108277
180055,BlueNet, s.r.o.,2678997
180056,Martin Nový,427777
180057,ZCZ, s.r.o.,2602476
180058,ZCZ, s.r.o.,940886
180059,Martin Nový,1386234
180062,BlueNet, s.r.o.,1676805
180064,Epic Internet a.s.,2945729
180065,GreenStyles, a.s.,1209141
180066,ZCZ, s.r.o.,842856
180067,Big žirafa s.r.o.,2476949
180068,Big žirafa s.r.o.,1297240
180070,BlueNet, s.r.o.,2062084
180071,GreenStyles, a.s.,1497871
180073,GreenStyles, a.s.,1604292
180074,Big žirafa s.r.o.,1874514
180075,Epic Internet a.s.,1128709
180076,BlueNet, s.r.o.,1140641
180077,GreenStyles, a.s.,2739590
180078,Valza, a.s.,1623406
180080,GreenStyles, a.s.,2783019
180081,GreenStyles, a.s.,2529533
180082,Big žirafa s.r.o.,2885234
180085,GreenStyles, a.s.,2052077
180086,ZCZ, s.r.o.,535170
180087,Big žirafa s.r.o.,2820393
180089,GreenStyles, a.s.,1483571
180090,Big žirafa s.r.o.,1774982
180091,Martin Nový,841888
180092,Epic Internet a.s.,1329377
180094,GreenStyles, a.s.,508037
180095,GreenStyles, a.s.,1596623
180096,Valza, a.s.,1092621
180097,Martin Nový,2953056
180098,Big žirafa s.r.o.,2799880
180101,BlueNet, s.r.o.,259674
180102,Epic Internet a.s.,2334695
180103,BlueNet, s.r.o.,1483876
180105,Martin Nový,2732974
180107,BlueNet, s.r.o.,2188361
180108,Martin Nový,2885065
180109,BlueNet, s.r.o.,186302
180110,BlueNet, s.r.o.,109739
180112,Martin Nový,593089
180113,Big žirafa s.r.o.,2406481
180114,GreenStyles, a.s.,1034398
180116,Valza, a.s.,1074616
180117,Martin Nový,2803076
180118,Valza, a.s.,2886864
180119,Valza, a.s.,489860
180122,Martin Nový,2945015
180123,Martin Nový,2036943
180124,Valza, a.s.,303073
180126,Valza, a.s.,1991925
180127,Valza, a.s.,1618507
180128,BlueNet, s.r.o.,2389952
180129,Epic Internet a.s.,1337852
180133,Big žirafa s.r.o.,867908
180134,Epic Internet a.s.,1605763
180135,ZCZ, s.r.o.,1502553
180136,ZCZ, s.r.o.,2243091
180137,BlueNet, s.r.o.,2723555
180139,BlueNet, s.r.o.,542594
180140,Big žirafa s.r.o.,1687238
180141,ZCZ, s.r.o.,1796706
180142,GreenStyles, a.s.,533176
180145,Martin Nový,502391
180146,ZCZ, s.r.o.,2031925
180147,Valza, a.s.,62852
180149,Valza, a.s.,1359418
180151,Epic Internet a.s.,1716650
180152,Valza, a.s.,580957
180154,GreenStyles, a.s.,2127315
180155,Valza, a.s.,2131817
180156,GreenStyles, a.s.,2637886
180157,ZCZ, s.r.o.,396155
180158,Epic Internet a.s.,1295769
180159,BlueNet, s.r.o.,1952695
180161,ZCZ, s.r.o.,955327
180162,Epic Internet a.s.,1905243
180164,Martin Nový,635301
180165,GreenStyles, a.s.,2932269
180166,BlueNet, s.r.o.,2904946
180167,Big žirafa s.r.o.,1469696
180168,Epic Internet a.s.,862851
180170,Big žirafa s.r.o.,771273
180171,Martin Nový,895054
180172,Epic Internet a.s.,2897368
180174,Valza, a.s.,-6376
180175,Valza, a.s.,2402837
180177,Valza, a.s.,2250557
180181,Valza, a.s.,61825
180182,ZCZ, s.r.o.,1451583
180183,GreenStyles, a.s.,575284
180187,Valza, a.s.,1037960
180188,Big žirafa s.r.o.,2683596
180189,GreenStyles, a.s.,2196018
180190,Valza, a.s.,1387547
180191,GreenStyles, a.s.,478832
180193,Martin Nový,990552
180194,ZCZ, s.r.o.,393185
180195,ZCZ, s.r.o.,419887
180196,Martin Nový,2617124
180197,Big žirafa s.r.o.,1086975
180198,Valza, a.s.,2345708
180199,ZCZ, s.r.o.,1342859
180200,GreenStyles, a.s.,50609
180201,GreenStyles, a.s.,107118
180202,Martin Nový,401956
180204,Epic Internet a.s.,2074995
180205,Epic Internet a.s.,2028758
180207,Valza, a.s.,2819365
180209,Martin Nový,936732
180210,Valza, a.s.,1026554
180211,Epic Internet a.s.,1060258
180212,Epic Internet a.s.,592613
180213,Big žirafa s.r.o.,-7761
180217,GreenStyles, a.s.,2731871
180218,Martin Nový,2649698
180219,Martin Nový,2547837
180220,Big žirafa s.r.o.,1990071
180223,Big žirafa s.r.o.,1839322
180226,Big žirafa s.r.o.,1577388
180227,ZCZ, s.r.o.,2881947
180229,GreenStyles, a.s.,1830877
180230,GreenStyles, a.s.,2400733
180231,Valza, a.s.,130657
180232,Martin Nový,2146256
180233,ZCZ, s.r.o.,1964532
180234,ZCZ, s.r.o.,2810777
180235,Big žirafa s.r.o.,2946732
180236,Martin Nový,2043542
180237,Valza, a.s.,1165514
180238,Epic Internet a.s.,2126312
180239,Big žirafa s.r.o.,932757
180240,Martin Nový,2279327
180241,Valza, a.s.,234048
180243,Big žirafa s.r.o.,32097
180245,Big žirafa s.r.o.,2258608
180247,GreenStyles, a.s.,1605218
180250,Martin Nový,1338511
180251,Epic Internet a.s.,2874988
180252,Big žirafa s.r.o.,2735994
180255,Valza, a.s.,1321591
180256,Big žirafa s.r.o.,626824
180258,BlueNet, s.r.o.,-5303
180260,Big žirafa s.r.o.,1204095
180261,Martin Nový,1855398
180262,Big žirafa s.r.o.,368073
180263,ZCZ, s.r.o.,477214
180264,BlueNet, s.r.o.,583235
180265,Epic Internet a.s.,207595
180266,Epic Internet a.s.,2976309
180268,Big žirafa s.r.o.,2121603
180269,BlueNet, s.r.o.,1450264
